Molecule ChEMBL ID,pIC50,AlogP,MW
CHEMBL104,4.52,5.38,344.85
CHEMBL1055,6.17,0.92,338.77
CHEMBL106848,7.22,0.42,233.31
CHEMBL1076889,6.91,2.97,421.11
CHEMBL1077117,5.15,0.73,226.26
CHEMBL1077134,4.6,1.03,240.28
CHEMBL1084674,4.32,0.47,239.3
CHEMBL1084675,5.08,1.85,276.77
CHEMBL1084918,4.52,1.33,260.31
CHEMBL1084919,5.43,1.96,321.22
CHEMBL1084920,4.0,1.96,321.22
CHEMBL1086777,4.35,1.5,256.35
CHEMBL1088203,4.68,1.13,236.3
CHEMBL1094528,4.01,1.21,221.21
CHEMBL1094530,4.06,-1.34,238.15
CHEMBL1094856,4.14,0.35,173.17
CHEMBL1094857,4.19,0.35,173.17
CHEMBL1163131,4.74,1.08,237.28
CHEMBL1163554,5.22,0.4,253.28
CHEMBL1164744,5.1,0.97,295.32
CHEMBL118,7.21,3.51,381.38
CHEMBL120886,5.276666666666666,1.34,270.09
CHEMBL121,5.39,2.49,357.44
CHEMBL122708,7.423333333333333,2.69,349.45
CHEMBL1276015,6.71,5.74,668.72
CHEMBL1276016,6.34,4.59,618.66
CHEMBL1276017,6.515,2.41,624.66
CHEMBL1276018,6.355,3.71,686.73
CHEMBL1276019,6.52,5.0,748.8
CHEMBL1276020,5.9350000000000005,3.68,716.76
CHEMBL1276021,6.88,2.39,654.69
CHEMBL1276022,7.035,2.36,684.71
CHEMBL1276023,7.1,3.17,682.74
CHEMBL1276024,6.859999999999999,3.32,607.67
CHEMBL1276394,7.095,3.07,624.44
CHEMBL1370332,7.59,1.47,365.44
CHEMBL1375,6.14,1.74,172.57
CHEMBL1382128,5.29,4.46,323.42
CHEMBL1387347,7.98,2.45,389.26
CHEMBL148680,4.13,0.12,215.23
CHEMBL1621411,5.18,1.23,256.37
CHEMBL175644,4.15,0.17,242.3
CHEMBL175786,6.55,0.0,231.23
CHEMBL176495,7.1,-0.38,187.22
CHEMBL177623,4.15,-0.42,230.25
CHEMBL179559,7.93,2.77,404.3
CHEMBL18,8.92,1.34,258.32
CHEMBL1801471,5.07,0.36,236.21
CHEMBL1801472,5.01,-0.03,222.18
CHEMBL180475,6.89,0.6,243.28
CHEMBL186335,6.6,0.85,259.27
CHEMBL186636,6.54,-0.09,246.32
CHEMBL19,8.32,-1.42,236.28
CHEMBL1991973,7.92,2.06,443.53
